Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 02-Aug-2020 at 13:12:11.
NREL 5MW Tower                                                                                     
=================================================================================

            tower frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.242302E+00 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist
 0.0313	 0.001317	 0.012560	 0.000000	 0.000000	 0.002070
 0.0383	 0.001406	 0.012910	 0.000000	 0.000000	 0.002530
 0.0453	 0.001497	 0.013251	 0.000000	 0.000000	 0.002990
 0.0522	 0.001590	 0.013582	 0.000000	 0.000000	 0.003449
 0.0592	 0.001686	 0.013903	 0.000000	 0.000000	 0.003909
 0.0662	 0.001784	 0.014215	 0.000000	 0.000000	 0.004369
 0.0731	 0.001884	 0.014517	 0.000000	 0.000000	 0.004829
 0.0801	 0.001986	 0.014810	 0.000000	 0.000000	 0.005289
 0.0870	 0.002090	 0.015093	 0.000000	 0.000000	 0.005749
 0.0940	 0.002196	 0.015367	 0.000000	 0.000000	 0.006209
 0.1010	 0.002304	 0.015632	 0.000000	 0.000000	 0.006668
 0.1079	 0.002414	 0.015887	 0.000000	 0.000000	 0.007128
 0.1149	 0.002525	 0.016133	 0.000000	 0.000000	 0.007588
 0.1219	 0.002639	 0.016370	 0.000000	 0.000000	 0.008047
 0.1288	 0.002753	 0.016598	 0.000000	 0.000000	 0.008507
 0.1358	 0.002870	 0.016817	 0.000000	 0.000000	 0.008967
 0.1399	 0.002939	 0.016942	 0.000000	 0.000000	 0.009238
 0.1497	 0.003107	 0.017228	 0.000000	 0.000000	 0.009886
 0.1567	 0.003227	 0.017420	 0.000000	 0.000000	 0.010345
 0.1636	 0.003349	 0.017604	 0.000000	 0.000000	 0.010805
 0.1706	 0.003473	 0.017779	 0.000000	 0.000000	 0.011264
 0.1776	 0.003597	 0.017946	 0.000000	 0.000000	 0.011724
 0.1845	 0.003723	 0.018104	 0.000000	 0.000000	 0.012183
 0.1915	 0.003849	 0.018255	 0.000000	 0.000000	 0.012642
 0.1985	 0.003977	 0.018397	 0.000000	 0.000000	 0.013101
 0.2054	 0.004105	 0.018531	 0.000000	 0.000000	 0.013560
 0.2124	 0.004235	 0.018657	 0.000000	 0.000000	 0.014020
 0.2194	 0.004365	 0.018775	 0.000000	 0.000000	 0.014479
 0.2263	 0.004496	 0.018886	 0.000000	 0.000000	 0.014938
 0.2333	 0.004628	 0.018989	 0.000000	 0.000000	 0.015397
 0.2403	 0.004761	 0.019085	 0.000000	 0.000000	 0.015855
 0.2472	 0.004894	 0.019173	 0.000000	 0.000000	 0.016314
 0.2507	 0.004961	 0.019215	 0.000000	 0.000000	 0.016544
 0.3203	 0.006344	 0.020257	 0.000000	 0.000000	 0.026688
 0.3797	 0.007544	 0.020003	 0.000000	 0.000000	 0.036477
 0.4248	 0.008427	 0.019024	 0.000000	 0.000000	 0.044699
